1,6.7136,0.4739,5.4308,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0635,0.6329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.8595,0.3036,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2,7.1658,0.0000,-3.8871,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.1035,0.4081,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
3,0.7842,0.0000,2.9585,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1966,0.0135,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
4,1.1086,0.3800,3.4400,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4125,0.0000,0.0120,0.1194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0195,2.3526,0.0274,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
5,1.4077,0.3800,1.6800,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4479,0.0000,0.0015,0.0153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1368,4.7958,0.0600,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
9,1.1022,0.3100,3.4400,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.3465,0.0000,0.0056,0.0555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0617,1.8362,0.0234,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
10,1.3322,0.3100,1.6800,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.3651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1241,4.4737,0.0558,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
11,2.7238,0.3100,-0.0800,1.0840,0.5031,0.5809,0.0000,0.0000,0.0000,0.0000,0.5355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1871,12.2826,0.1467,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
14,1.0102,0.2400,3.4400,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.2595,0.0000,0.0060,0.0598,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0277,1.6296,0.0196,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
15,1.2792,0.2400,1.6800,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.2793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0950,4.3622,0.0533,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
16,1.7231,0.2400,-0.0800,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.2793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0950,8.2206,0.0969,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
19,0.8970,0.1700,3.3185,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.1790,0.0000,0.0051,0.0505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0098,0.0000,1.4558,0.0165,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
